user,group,password
jane.doe,DBA,ChangeMe123456!
michael.scott,NetworkAdmin,ChangeMe123456!
barbara.brown,CloudAdmin,ChangeMe123456!
brian.garcia,LinuxAdmin,ChangeMe123456!
philip.jack,DBA,ChangeMe123456!
angelino.marinho,DBA,ChangeMe123456!
arachane.dinis,DBA,ChangeMe123456!
armando.pirassununga,DBA,ChangeMe123456!
astolfo.cerveira,DBA,ChangeMe123456!
augusta.gusmao,DBA,ChangeMe123456!
boaventura.trindade,DBA,ChangeMe123456!
bras.vides,DBA,ChangeMe123456!
bruna.muniz,DBA,ChangeMe123456!
capitolina.garrido,DBA,ChangeMe123456!
carina.salles,DBA,ChangeMe123456!
caua.setubal,DBA,ChangeMe123456!
celeste.moreira,DBA,ChangeMe123456!
celso.torres,DBA,ChangeMe123456!
cesar.matos,LinuxAdmin,ChangeMe123456!
cleiton.frois,DBA,ChangeMe123456!
cristiana.dornelles,DBA,ChangeMe123456!
debora.ferreyra,LinuxAdmin,ChangeMe123456!
deolindo.ourique,LinuxAdmin,ChangeMe123456!
diamantino.raposo,LinuxAdmin,ChangeMe123456!
donato.gama,LinuxAdmin,ChangeMe123456!
doroteia.robalo,LinuxAdmin,ChangeMe123456!
egas.malta,LinuxAdmin,ChangeMe123456!
emiliana.bicudo,LinuxAdmin,ChangeMe123456!
esperanca.carrasco,LinuxAdmin,ChangeMe123456!
eudes.bogado,LinuxAdmin,ChangeMe123456!
fausto.doutel,LinuxAdmin,ChangeMe123456!
filipa.holanda,LinuxAdmin,ChangeMe123456!
filipe.henriques,LinuxAdmin,ChangeMe123456!
gil.pinhal,LinuxAdmin,ChangeMe123456!
gilda.maior,LinuxAdmin,ChangeMe123456!
giovana.carballo,LinuxAdmin,ChangeMe123456!
glauber.feijo,LinuxAdmin,ChangeMe123456!
glaucia.pitangui,LinuxAdmin,ChangeMe123456!
godofredo.carvalhal,LinuxAdmin,ChangeMe123456!
goncalo.balladares,LinuxAdmin,ChangeMe123456!
graciano.vianna,LinuxAdmin,ChangeMe123456!
gui.maior,LinuxAdmin,ChangeMe123456!
guterre.milheiro,LinuxAdmin,ChangeMe123456!
guterre.pastana,LinuxAdmin,ChangeMe123456!
hedviges.velasquez,LinuxAdmin,ChangeMe123456!
helena.acatauacu,LinuxAdmin,ChangeMe123456!
hermigio.rosa,LinuxAdmin,ChangeMe123456!
ibijara.capiperibe,NetworkAdmin,ChangeMe123456!
ifigenia.homem,NetworkAdmin,ChangeMe123456!
iracema.bento,NetworkAdmin,ChangeMe123456!
jandaira.escobar,NetworkAdmin,ChangeMe123456!
jeremias.paula,NetworkAdmin,ChangeMe123456!
lavinia.delgado,NetworkAdmin,ChangeMe123456!
ligia.palhares,NetworkAdmin,ChangeMe123456!
lino.belmonte,NetworkAdmin,ChangeMe123456!
lopo.camacho,NetworkAdmin,ChangeMe123456!
luisa.ramirez,NetworkAdmin,ChangeMe123456!
mario.briao,NetworkAdmin,ChangeMe123456!
melissa.queiroz,NetworkAdmin,ChangeMe123456!
mem.regueira,NetworkAdmin,ChangeMe123456!
morgana.valgueiro,NetworkAdmin,ChangeMe123456!
natalia.terra,NetworkAdmin,ChangeMe123456!
nazare.verissimo,NetworkAdmin,ChangeMe123456!
noe.betancour,NetworkAdmin,ChangeMe123456!
noemia.sarmento,NetworkAdmin,ChangeMe123456!
olavo.borges,NetworkAdmin,ChangeMe123456!
oliveira.sobral,NetworkAdmin,ChangeMe123456!
oriana.viveiros,NetworkAdmin,ChangeMe123456!
paraguacu.ipanema,NetworkAdmin,ChangeMe123456!
placido.medeiros,NetworkAdmin,ChangeMe123456!
porfirio.azenha,NetworkAdmin,ChangeMe123456!
potira.ferraco,NetworkAdmin,ChangeMe123456!
quiteria.xavier,NetworkAdmin,ChangeMe123456!
raquel.paredes,Trainee,ChangeMe123456!
ruca.conde,Trainee,ChangeMe123456!
salvador.vasquez,Trainee,ChangeMe123456!
sancha.pino,Trainee,ChangeMe123456!
sandro.alvarenga,Trainee,ChangeMe123456!
sebastiana.peres,Trainee,ChangeMe123456!
sebastiao.vasconcelos,Trainee,ChangeMe123456!
severino.martins,Trainee,ChangeMe123456!
sidonio.ramirez,Trainee,ChangeMe123456!
simone.velasco,Trainee,ChangeMe123456!
socorro.brum,Trainee,ChangeMe123456!
sofia.siqueira,Trainee,ChangeMe123456!
sonas.modesto,Trainee,ChangeMe123456!
sonia.telles,Trainee,ChangeMe123456!
teodorico.guilheiro,Trainee,ChangeMe123456!
tobias.piraja,Trainee,ChangeMe123456!
trajano.santanna,Trainee,ChangeMe123456!
ubajara.guerreiro,Trainee,ChangeMe123456!
vania.paredes,CloudAdmin,ChangeMe123456!
vera.andrade,Trainee,ChangeMe123456!
viriato.albernaz,Trainee,ChangeMe123456!
xenia.peres,CloudAdmin,ChangeMe123456!
zelia.ferrao,CloudAdmin,ChangeMe123456!
zidane.espargosa,CloudAdmin,ChangeMe123456!
zilda.pastana,CloudAdmin,ChangeMe123456!
zulmira.paixao,CloudAdmin,ChangeMe123456!
zuriel.losada,CloudAdmin,ChangeMe123456!
